ID_PER,P5_17_1,P5_17_2,P5_17_3,P5_17_4,P5_16_1,P5_16_3,P5_11_01,P5_26,P5_1,P5_2_1,P5_2_4,P6_1,P6_3,P6_4_1,P6_4_2,P6_13,P6_14_1,P6_14_2,P6_14_3,P6_15,P7_37,P7_38,P7_40_1,P7_40_2,P7_40_3,P7_40_4,P7_40_5,P7_40_6,P7_1,P7_2,P7_9,P7_35,P7_36,P8_9_12,P10_7,P10_5_1,P10_5_2,P10_5_3,P10_5_4,P10_1,P10_3,P10_6,P10_8
0477.7922,1,1,1,1,1,1,1,4,1,1,1,4,2,1,1,3,2,2,1,2,2,3,1,2,1,2,2,2,2,17,1,1,2,1,4,1,2,2,2,1,2,2,2
0478.5506,3,3,1,1,1,1,0,4,1,1,2,4,2,1,1,3,2,2,1,2,4,4,2,2,2,2,2,2,1,7,1,1,1,1,4,1,1,2,2,2,2,1,2
0479.2392,2,1,2,2,1,1,0,3,2,1,1,3,2,1,2,3,2,2,2,2,3,2,1,2,1,2,2,2,1,20,1,1,1,2,4,1,2,1,2,2,1,2,2
0480.6950,4,3,3,3,1,1,0,3,2,1,2,10,1,1,2,3,1,2,1,2,3,3,1,2,2,2,2,2,1,14,1,1,1,1,4,2,2,1,1,2,1,1,2
0490.8905,2,3,3,3,1,3,0,2,2,1,2,5,2,1,1,3,2,2,1,2,4,4,1,2,2,1,2,2,2,20,1,1,1,2,4,1,1,1,1,2,1,2,2
0505.2413,1,2,2,2,1,1,0,1,1,1,1,7,2,1,2,3,2,2,1,2,4,4,1,2,2,2,2,2,1,22,1,1,1,2,3,1,2,2,2,1,2,2,2
0510.6033,1,3,1,4,2,1,0,2,1,1,2,2,2,1,1,3,2,2,1,2,3,3,1,1,1,1,2,2,1,22,1,2,2,1,4,1,2,2,2,2,1,1,1
0520.7234,3,3,4,3,1,1,0,3,1,1,1,3,2,1,1,3,2,2,1,2,3,3,1,2,1,2,2,2,2,23,1,2,2,2,4,1,1,2,2,2,2,1,2
0535.1254,2,1,2,3,1,1,0,3,2,1,1,5,2,1,1,3,2,2,2,2,4,4,1,2,2,2,2,2,2,20,1,1,1,2,4,1,1,2,2,2,1,2,1
0547.0993,4,3,3,3,3,2,0,3,1,1,1,3,2,1,1,3,1,2,1,2,3,4,1,2,2,2,2,2,1,13,1,1,2,2,4,2,2,2,2,1,2,1,2
0571.6906,2,1,1,1,1,1,0,4,1,1,1,4,2,2,1,3,1,2,1,2,2,3,2,2,2,1,2,2,2,19,1,2,1,2,4,2,2,1,2,1,2,1,1
0591.0099,3,3,3,3,2,1,0,4,1,1,1,1,2,1,2,3,1,2,1,1,4,4,2,2,2,2,2,2,1,12,1,1,1,2,4,2,2,2,2,2,1,1,1
0592.3345,2,2,2,3,1,1,0,4,1,1,1,2,2,1,1,2,1,2,1,2,3,4,1,1,1,1,1,2,2,15,1,2,2,1,4,1,2,2,2,2,1,2,2
0605.4324,4,3,4,4,3,1,0,4,2,1,2,2,2,2,1,3,2,2,2,2,3,1,1,2,1,2,1,2,2,21,2,2,2,1,4,1,2,2,2,2,2,2,2
0606.7302,4,3,2,2,1,1,0,4,1,1,1,13,1,1,2,3,2,2,1,2,3,3,1,2,2,2,2,2,2,13,1,2,2,1,4,1,1,1,1,1,1,1,2
0611.1605,2,2,2,2,2,1,0,4,2,1,1,3,2,1,1,3,2,2,2,2,3,3,1,2,2,2,2,2,2,15,1,1,1,2,4,1,2,2,2,2,2,1,2
0612.7042,2,1,1,2,1,2,0,1,1,1,1,18,1,1,2,3,1,2,1,2,3,3,1,1,1,1,2,2,2,20,1,2,2,1,3,1,2,2,2,1,1,1,2
0614.5200,1,1,2,3,1,3,0,2,1,1,1,5,2,1,1,3,1,2,1,2,2,3,1,2,2,2,2,2,2,15,1,2,1,2,3,1,2,2,2,1,2,1,2
0618.5844,2,3,4,4,2,1,0,4,2,1,1,6,2,1,1,3,2,2,1,2,3,3,1,2,2,2,2,2,2,22,1,1,1,2,4,1,1,1,1,2,2,2,2
0633.0985,4,1,1,1,1,1,0,4,1,1,1,2,2,1,1,3,1,2,1,2,4,4,1,2,1,2,1,1,1,12,1,2,1,1,4,2,2,3,1,2,2,1,2
0639.6652,1,1,2,1,1,1,0,4,1,1,2,1,2,1,1,2,2,2,1,2,4,4,1,2,2,2,2,2,2,12,1,1,2,2,4,1,2,2,1,2,1,2,2
0644.7792,4,1,1,1,1,1,0,4,1,2,2,4,2,1,2,3,2,2,1,2,4,4,1,2,2,2,2,2,1,12,1,1,1,2,4,1,2,1,1,2,1,2,2
0658.0864,3,2,2,3,2,2,0,4,1,1,2,1,2,1,2,3,2,2,1,1,4,4,2,2,2,2,2,2,1,20,1,1,1,2,4,2,2,1,1,2,2,1,2
0659.2633,3,1,3,1,1,3,0,4,2,1,2,3,2,2,1,3,2,1,1,2,4,4,2,2,2,2,2,2,2,14,1,1,2,2,4,1,2,2,1,1,2,1,2
0664.9030,3,1,3,4,1,3,0,2,2,1,2,2,2,1,2,3,2,2,1,2,3,3,2,2,2,2,2,2,1,12,1,1,1,1,4,1,1,1,1,1,2,2,1
0666.6417,3,1,3,1,2,3,0,3,2,1,2,6,2,1,1,3,2,2,1,2,3,3,2,2,2,2,2,2,2,20,1,1,1,2,4,1,1,1,2,2,2,2,2
0666.9288,3,4,3,3,2,1,0,3,2,1,1,3,2,1,1,3,1,1,2,2,4,4,2,2,2,2,2,2,1,20,1,1,1,2,4,1,2,2,2,2,2,1,2
